unix,date,symbol,open,high,low,close,Volume BTC,Volume AUD,tradecount
1659744000000,2022-08-06 00:00:00,BTC/AUD,33690.00000000,33816.42000000,33183.05000000,33184.38000000,67.29446000,2258982.77034630,3481
1659657600000,2022-08-05 00:00:00,BTC/AUD,32536.96000000,33815.95000000,32490.16000000,33741.34000000,244.62593000,8143993.27084570,10157
1659571200000,2022-08-04 00:00:00,BTC/AUD,32903.96000000,33408.05000000,32174.00000000,32540.22000000,338.86856000,11156103.80624270,14128
1659484800000,2022-08-03 00:00:00,BTC/AUD,33384.42000000,34100.00000000,32786.90000000,32918.49000000,238.47795000,7966160.34126960,10517
1659398400000,2022-08-02 00:00:00,BTC/AUD,33184.61000000,33774.33000000,32525.13000000,33375.11000000,223.63017000,7381937.04133300,11131
1659312000000,2022-08-01 00:00:00,BTC/AUD,33489.03000000,33658.25000000,32604.28000000,33172.39000000,206.88549000,6863288.36933600,10395
1659225600000,2022-07-31 00:00:00,BTC/AUD,33854.90000000,34649.64000000,33332.59000000,33491.63000000,167.54990000,5689621.29241930,7249
1659139200000,2022-07-30 00:00:00,BTC/AUD,34060.80000000,35348.68000000,33730.00000000,33889.93000000,203.42891000,7012361.62348730,8636
1659052800000,2022-07-29 00:00:00,BTC/AUD,34117.91000000,34870.00000000,33777.33000000,34007.88000000,298.81453000,10222749.54994500,12857
1658966400000,2022-07-28 00:00:00,BTC/AUD,32880.69000000,34604.80000000,32268.44000000,34135.02000000,390.92908000,13044729.75171960,15412
1658880000000,2022-07-27 00:00:00,BTC/AUD,30649.49000000,33000.00000000,30420.00000000,32872.42000000,512.17901000,16098039.61888880,17345
1658793600000,2022-07-26 00:00:00,BTC/AUD,30700.44000000,30767.82000000,29855.01000000,30620.00000000,377.98347000,11441411.60190030,14345
1658707200000,2022-07-25 00:00:00,BTC/AUD,32673.35000000,32803.35000000,30624.00000000,30695.33000000,415.66293000,13161915.58661740,15957
1658620800000,2022-07-24 00:00:00,BTC/AUD,32452.52000000,33279.23000000,32169.78000000,32668.47000000,159.05468000,5210753.92445680,6560
1658534400000,2022-07-23 00:00:00,BTC/AUD,32854.76000000,33263.10000000,31735.18000000,32452.93000000,160.75145000,5247516.17249500,7052
1658448000000,2022-07-22 00:00:00,BTC/AUD,33460.20000000,34156.59000000,32527.00000000,32850.84000000,355.55287000,11916342.67761700,14159
1658361600000,2022-07-21 00:00:00,BTC/AUD,33720.59000000,34047.85000000,32480.71000000,33434.50000000,440.93531000,14642107.36895410,16890
1658275200000,2022-07-20 00:00:00,BTC/AUD,33945.52000000,35242.28000000,33221.01000000,33756.94000000,465.17226000,15885196.94503870,19526
1658188800000,2022-07-19 00:00:00,BTC/AUD,32963.10000000,34500.00000000,31507.41000000,33966.38000000,457.41680000,14991914.32655660,17153
1658102400000,2022-07-18 00:00:00,BTC/AUD,30505.30000000,33259.84000000,30437.55000000,33024.24000000,338.73802000,10892785.35788390,15425
1658016000000,2022-07-17 00:00:00,BTC/AUD,31252.80000000,31938.15000000,30449.80000000,30505.30000000,171.36367000,5368838.58386920,7607
1657929600000,2022-07-16 00:00:00,BTC/AUD,30659.59000000,31777.77000000,30167.94000000,31219.19000000,116.79762000,3602808.54972360,5845
1657843200000,2022-07-15 00:00:00,BTC/AUD,30446.54000000,31188.29000000,30201.08000000,30681.78000000,303.74885000,9334850.72888500,12442
1657756800000,2022-07-14 00:00:00,BTC/AUD,30025.21000000,30929.83000000,29140.60000000,30456.10000000,397.46099000,11834807.01118760,16076
1657670400000,2022-07-13 00:00:00,BTC/AUD,28625.68000000,30090.64000000,28000.00000000,30009.02000000,691.95884000,19951978.84976070,25504
1657584000000,2022-07-12 00:00:00,BTC/AUD,29582.56000000,31582.89000000,28467.60000000,28629.71000000,551.04554000,16157598.03412750,21775
1657497600000,2022-07-11 00:00:00,BTC/AUD,30422.67000000,30712.10000000,29500.00000000,29571.81000000,444.78455000,13401485.80116130,18305
1657411200000,2022-07-10 00:00:00,BTC/AUD,31488.77000000,31518.33000000,30208.31000000,30422.68000000,190.86558000,5883028.82781050,7663
1657324800000,2022-07-09 00:00:00,BTC/AUD,31449.58000000,32044.73000000,31100.55000000,31510.35000000,209.92264000,6612124.73747900,7581
1657238400000,2022-07-08 00:00:00,BTC/AUD,31549.41000000,32720.29000000,30957.11000000,31470.16000000,434.26340000,13798110.55479180,14665
1657152000000,2022-07-07 00:00:00,BTC/AUD,30240.82000000,31853.99000000,29695.96000000,31539.99000000,329.67591000,10015514.90630610,11944
1657065600000,2022-07-06 00:00:00,BTC/AUD,29551.75000000,30354.59000000,28999.99000000,30239.32000000,433.94490000,12848656.02635910,14986
1656979200000,2022-07-05 00:00:00,BTC/AUD,29370.69000000,30399.99000000,28378.45000000,29551.74000000,419.09049000,12282040.54421790,15803
