,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-12 10:30:00-05:00,3914.169921875,3923.659912109375,3909.909912109375,3922.139892578125,252489743,0,0
2021-02-12 11:30:00-05:00,3922.159912109375,3924.89990234375,3920.97998046875,3921.360107421875,183198180,0,0
2021-02-12 12:30:00-05:00,3921.360107421875,3921.590087890625,3914.02001953125,3918.419921875,184743729,0,0
2021-02-12 13:30:00-05:00,3918.35009765625,3920.659912109375,3914.47998046875,3917.77001953125,154068686,0,0
2021-02-12 14:30:00-05:00,3917.77001953125,3922.89990234375,3915.6298828125,3922.739990234375,179481365,0,0
2021-02-12 15:30:00-05:00,3922.72998046875,3937.22998046875,3922.409912109375,3935.0400390625,290070399,0,0
2021-02-16 09:30:00-05:00,3939.610107421875,3950.429931640625,3936.909912109375,3948.080078125,0,0,0
2021-02-16 10:30:00-05:00,3948.14990234375,3950.06005859375,3932.800048828125,3932.89990234375,297369617,0,0
2021-02-16 11:30:00-05:00,3930.739990234375,3937.3798828125,3923.85009765625,3936.72998046875,255324978,0,0
2021-02-16 12:30:00-05:00,3936.639892578125,3938.85009765625,3933.1298828125,3937.39990234375,180931202,0,0
2021-02-16 13:30:00-05:00,3937.429931640625,3939.989990234375,3933.239990234375,3939.929931640625,185999714,0,0
2021-02-16 14:30:00-05:00,3939.949951171875,3940.8798828125,3932.659912109375,3935.35009765625,213569624,0,0
2021-02-16 15:30:00-05:00,3935.22998046875,3937.139892578125,3928.719970703125,3932.820068359375,296415237,0,0
2021-02-17 09:30:00-05:00,3918.5,3924.2099609375,3900.429931640625,3912.4599609375,0,0,0
2021-02-17 10:30:00-05:00,3912.389892578125,3920.889892578125,3903.4599609375,3908.760009765625,358667460,0,0
2021-02-17 11:30:00-05:00,3909.18994140625,3916.35009765625,3902.93994140625,3916.239990234375,234672977,0,0
2021-02-17 12:30:00-05:00,3916.320068359375,3923.22998046875,3915.550048828125,3922.85009765625,187389383,0,0
2021-02-17 13:30:00-05:00,3922.800048828125,3928.31005859375,3919.780029296875,3921.050048828125,172419798,0,0
2021-02-17 14:30:00-05:00,3921.10009765625,3931.02001953125,3920.409912109375,3929.02001953125,198596841,0,0
2021-02-17 15:30:00-05:00,3928.989990234375,3933.610107421875,3927.60009765625,3931.550048828125,263951633,0,0
2021-02-18 09:30:00-05:00,3915.860107421875,3915.860107421875,3886.02001953125,3891.31005859375,0,0,0
