Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-07 02:30:00-05:00,728.5,729.0,728.5,729.0,11,0,0
2022-12-07 02:35:00-05:00,729.25,730.75,729.25,730.5,138,0,0
2022-12-07 02:40:00-05:00,730.25,731.75,730.25,731.25,70,0,0
2022-12-07 02:45:00-05:00,731.25,731.5,731.0,731.5,9,0,0
2022-12-07 02:50:00-05:00,731.0,731.5,730.75,731.5,5,0,0
2022-12-07 02:55:00-05:00,731.5,731.75,731.0,731.25,25,0,0
2022-12-07 03:00:00-05:00,731.0,731.25,731.0,731.25,18,0,0
2022-12-07 03:05:00-05:00,731.25,731.25,730.5,730.75,129,0,0
2022-12-07 03:10:00-05:00,730.5,731.75,730.5,731.75,102,0,0
2022-12-07 03:15:00-05:00,731.75,732.25,731.75,732.25,9,0,0
2022-12-07 03:20:00-05:00,732.0,732.75,732.0,732.75,37,0,0
2022-12-07 03:25:00-05:00,732.5,733.0,732.5,732.75,109,0,0
2022-12-07 03:30:00-05:00,732.5,732.5,731.5,731.75,32,0,0
2022-12-07 03:35:00-05:00,731.75,731.75,731.0,731.25,15,0,0
2022-12-07 03:40:00-05:00,731.25,731.25,730.0,730.0,17,0,0
2022-12-07 03:45:00-05:00,729.75,730.0,729.75,730.0,9,0,0
2022-12-07 03:50:00-05:00,729.75,729.75,729.0,729.5,20,0,0
2022-12-07 03:55:00-05:00,729.0,730.75,728.75,730.75,60,0,0
2022-12-07 04:00:00-05:00,730.5,731.75,730.25,731.25,80,0,0
2022-12-07 04:05:00-05:00,731.25,731.25,730.25,730.75,87,0,0
2022-12-07 04:10:00-05:00,730.75,733.0,730.75,732.75,75,0,0
2022-12-07 04:15:00-05:00,732.5,732.75,732.0,732.0,40,0,0
2022-12-07 04:20:00-05:00,732.0,732.5,731.25,732.5,33,0,0
2022-12-07 04:25:00-05:00,732.25,732.25,731.0,731.5,90,0,0
2022-12-07 04:30:00-05:00,731.5,731.5,731.25,731.25,8,0,0
2022-12-07 04:35:00-05:00,731.25,731.25,731.0,731.0,10,0,0
2022-12-07 04:40:00-05:00,731.0,731.5,730.75,730.75,43,0,0
2022-12-07 04:45:00-05:00,730.75,733.5,730.75,732.5,284,0,0
2022-12-07 04:50:00-05:00,732.5,732.75,731.75,731.75,24,0,0
2022-12-07 04:55:00-05:00,732.0,732.25,731.75,731.75,11,0,0
2022-12-07 05:00:00-05:00,731.75,732.25,731.0,732.0,57,0,0
2022-12-07 05:05:00-05:00,732.0,734.0,732.0,733.0,145,0,0
2022-12-07 05:10:00-05:00,733.0,733.5,733.0,733.25,43,0,0
2022-12-07 05:15:00-05:00,733.25,735.0,733.25,734.75,144,0,0
