Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-25,380.25,380.25,373.25,374.25,149,0,0
2021-03-26,374.75,375.75,372.25,375.0,85,0,0
2021-03-29,375.25,375.25,371.5,373.5,145,0,0
2021-03-30,373.0,373.0,366.25,368.5,368,0,0
2021-03-31,367.0,382.25,366.75,378.75,442,0,0
2021-04-01,381.5,381.75,370.75,372.0,420,0,0
2021-04-05,372.0,374.75,371.75,373.0,64,0,0
2021-04-06,375.5,377.5,372.25,374.0,394,0,0
2021-04-07,374.5,374.5,371.25,371.5,229,0,0
2021-04-08,372.75,379.0,372.0,376.75,179,0,0
2021-04-09,377.5,378.0,373.75,373.75,280,0,0
2021-04-12,371.75,375.75,371.0,372.25,117,0,0
2021-04-13,372.75,376.75,372.25,375.5,165,0,0
2021-04-14,375.5,385.0,375.0,382.5,400,0,0
2021-04-15,383.75,385.25,381.0,382.0,306,0,0
2021-04-16,383.75,384.0,380.75,380.75,477,0,0
2021-04-19,381.0,384.5,378.75,380.75,222,0,0
2021-04-20,380.5,390.0,380.5,385.25,371,0,0
2021-04-21,385.0,392.5,384.75,391.75,140,0,0
2021-04-22,393.25,403.0,393.25,402.25,477,0,0
2021-04-23,402.5,410.75,395.75,399.0,191,0,0
2021-04-26,399.0,408.0,399.0,405.75,289,0,0
2021-04-27,407.0,410.0,402.0,403.5,174,0,0
2021-04-28,403.5,405.0,393.75,398.75,94,0,0
2021-04-29,396.5,399.75,392.5,396.25,55,0,0
2021-04-30,393.75,401.0,393.75,401.0,1,0,0
2021-05-03,399.25,399.25,399.25,399.25,1,0,0
2021-05-04,401.5,401.5,401.5,401.5,0,0,0
2021-05-05,406.25,406.75,406.25,406.75,1,0,0
2021-05-06,409.25,409.25,409.25,409.25,0,0,0
2021-05-07,405.5,405.5,405.5,405.5,0,0,0
2021-05-10,403.0,403.0,403.0,403.0,0,0,0
2021-05-11,403.75,403.75,400.25,400.25,1,0,0
2021-05-12,380.75,380.75,380.75,380.75,1,0,0
2021-05-13,363.75,363.75,363.75,363.75,1,0,0
2021-05-14,363.75,363.75,363.75,363.75,715,0,0
2021-05-17,368.5,375.75,357.5,360.5,480,0,0
2021-05-18,366.0,366.0,354.0,356.5,420,0,0
2021-05-19,360.0,360.0,350.5,353.75,378,0,0
2021-05-20,353.5,363.75,351.25,358.25,548,0,0
2021-05-21,356.5,358.5,354.25,356.0,191,0,0
2021-05-24,358.5,365.25,354.25,357.25,246,0,0
2021-05-25,362.5,364.25,355.0,360.75,330,0,0
2021-05-26,361.0,367.25,358.25,364.75,513,0,0
2021-05-27,365.0,377.75,363.0,372.75,265,0,0
2021-05-28,374.0,380.0,371.25,377.5,316,0,0
2021-06-01,379.25,388.75,376.25,384.75,481,0,0
2021-06-02,383.25,387.0,377.75,384.0,431,0,0
2021-06-03,385.75,388.0,374.75,380.0,285,0,0
2021-06-04,378.25,398.75,377.25,394.75,807,0,0
2021-06-07,395.25,408.0,391.75,402.25,872,0,0
2021-06-08,402.0,409.25,399.25,408.0,279,0,0
2021-06-09,408.0,408.0,393.75,396.0,377,0,0
2021-06-10,397.0,398.0,387.75,388.25,276,0,0
2021-06-11,388.25,395.0,380.0,381.25,341,0,0
2021-06-14,384.5,384.5,365.25,368.75,876,0,0
2021-06-15,368.5,369.75,355.5,365.5,429,0,0
2021-06-16,367.25,379.5,365.75,375.25,345,0,0
2021-06-17,378.0,379.5,365.0,365.75,421,0,0
2021-06-18,366.0,374.0,365.75,370.0,201,0,0
2021-06-21,369.5,370.0,360.25,363.5,225,0,0
2021-06-22,366.0,370.5,357.25,360.25,236,0,0
2021-06-23,361.0,366.5,358.5,365.5,363,0,0
2021-06-24,365.5,378.75,356.25,376.5,284,0,0
2021-06-25,375.75,383.0,373.25,377.5,191,0,0
2021-06-28,377.75,388.75,377.75,385.25,370,0,0
2021-06-29,385.0,389.5,374.0,377.25,113,0,0
2021-06-30,384.75,385.5,372.0,384.0,12,0,0
2021-07-01,393.5,393.5,393.5,393.5,21,0,0
2021-07-02,394.5,394.5,394.5,394.5,3,0,0
2021-07-06,378.25,378.25,378.25,378.25,3,0,0
2021-07-07,381.0,381.0,381.0,381.0,3,0,0
2021-07-08,385.75,385.75,385.75,385.75,3,0,0
2021-07-09,396.25,396.25,396.25,396.25,3,0,0
2021-07-12,409.0,409.0,409.0,409.0,3,0,0
2021-07-13,425.25,425.25,425.25,425.25,3,0,0
2021-07-14,425.25,425.25,425.25,425.25,152,0,0
2021-07-15,432.75,440.0,424.0,439.5,117,0,0
2021-07-16,439.75,443.0,430.5,436.0,140,0,0
2021-07-19,437.25,443.0,425.5,431.75,79,0,0
2021-07-20,431.75,452.0,431.75,450.75,90,0,0
2021-07-21,454.0,465.0,453.5,454.75,114,0,0
2021-07-22,454.25,454.5,436.0,454.5,115,0,0
2021-07-23,455.0,465.25,455.0,461.5,75,0,0
2021-07-26,462.0,462.25,450.25,462.0,162,0,0
2021-07-27,465.0,468.5,461.5,465.75,53,0,0
2021-07-28,466.5,470.5,461.5,466.25,79,0,0
2021-07-29,464.25,468.25,463.75,463.75,187,0,0
2021-07-30,462.0,462.0,446.25,446.75,160,0,0
2021-08-02,442.75,452.75,441.0,447.0,156,0,0
2021-08-03,446.5,449.0,444.25,445.0,51,0,0
2021-08-04,445.5,448.5,441.0,444.0,26,0,0
2021-08-05,449.25,467.5,449.25,460.5,85,0,0
2021-08-06,460.0,473.5,458.5,467.25,65,0,0
2021-08-09,464.25,475.0,463.0,468.75,35,0,0
2021-08-10,466.25,468.5,462.0,467.25,34,0,0
2021-08-11,464.0,467.0,457.5,460.5,83,0,0
2021-08-12,462.25,475.0,460.25,469.25,73,0,0
2021-08-13,467.25,494.25,467.25,494.25,45,0,0
2021-08-16,494.25,508.75,494.25,500.0,112,0,0
2021-08-17,503.5,519.75,497.25,507.5,47,0,0
2021-08-18,502.25,504.0,494.25,494.25,49,0,0
2021-08-19,493.75,493.75,483.75,492.25,38,0,0
2021-08-20,489.75,503.5,487.75,495.0,26,0,0
2021-08-23,503.25,509.5,500.5,509.5,21,0,0
2021-08-24,517.75,517.75,507.0,509.0,30,0,0
2021-08-25,502.75,518.0,502.75,515.75,30,0,0
2021-08-26,519.0,521.75,509.25,509.25,44,0,0
2021-08-27,509.75,520.25,509.75,518.0,75,0,0
2021-08-30,523.25,533.25,509.25,509.25,45,0,0
2021-08-31,496.25,496.25,496.25,496.25,2,0,0
2021-09-01,501.25,501.25,501.25,501.25,2,0,0
2021-09-02,506.75,506.75,506.75,506.75,0,0,0
2021-09-03,514.0,514.0,506.5,506.5,2,0,0
2021-09-07,500.0,500.0,495.5,495.5,1,0,0
2021-09-08,495.0,495.0,493.0,495.0,10,0,0
2021-09-09,483.75,483.75,483.75,483.75,0,0,0
